daily.time,daily.summary,daily.icon,daily.sunriseTime,daily.sunsetTime,daily.moonPhase,daily.precipIntensity,daily.precipIntensityMax,daily.precipIntensityMaxTime,daily.precipProbability,daily.precipType,daily.temperatureHigh,daily.temperatureHighTime,daily.temperatureLow,daily.temperatureLowTime,daily.apparentTemperatureHigh,daily.apparentTemperatureHighTime,daily.apparentTemperatureLow,daily.apparentTemperatureLowTime,daily.dewPoint,daily.humidity,daily.pressure,daily.windSpeed,daily.windGust,daily.windGustTime,daily.windBearing,daily.cloudCover,daily.uvIndex,daily.uvIndexTime,daily.visibility,daily.temperatureMin,daily.temperatureMinTime,daily.temperatureMax,daily.temperatureMaxTime,daily.apparentTemperatureMin,daily.apparentTemperatureMinTime,daily.apparentTemperatureMax,daily.apparentTemperatureMaxTime,id,location,home.team,latitude,longitude,daily.precipAccumulation
2010-01-20,Mostly cloudy throughout the day.,partly-cloudy-day,1/20/2010 7:55,1/20/2010 16:29,0.16,0.0036,0.0201,1/20/2010 15:00,0.78,rain,39.02,1263970800,36.95,1264050000,37.55,1264010400,36.95,1264050000,34.19,0.85,1012.03,4.72,10.55,1263960000,97,0.86,1,1263985200,5.23,37.16,1/20/2010 14:00,40.38,1/20/2010 0:00,32.52,1/20/2010 9:00,37.91,1/20/2010 22:00,0910-01,London,Arsenal,51.555,-0.10861111,
2010-01-31,Partly cloudy until evening.,partly-cloudy-day,1/31/2010 7:41,1/31/2010 16:48,0.55,0,0,,0,,38.66,1264950000,31.42,1264982400,34.59,1264950000,24.86,1265011200,27.08,0.8,1005.91,4.49,8.5,1264946400,262,0.24,1,1264935600,6.21,28.12,1/31/2010 5:00,38.66,1/31/2010 15:00,23.86,1/31/2010 8:00,34.59,1/31/2010 15:00,0910-02,London,Arsenal,51.555,-0.10861111,
2010-02-10,Partly cloudy throughout the day.,partly-cloudy-day,2/10/2010 7:25,2/10/2010 17:06,0.89,0,0,,0,,36.73,1265810400,30.9,1265835600,30.09,1265806800,23.97,1265875200,27.2,0.75,1016.26,7.18,13.57,1265799600,7,0.57,1,1265796000,6.2,30.9,2/10/2010 21:00,36.73,2/10/2010 14:00,24.25,2/10/2010 21:00,31.65,2/10/2010 0:00,0910-03,London,Arsenal,51.555,-0.10861111,
2010-04-24,Partly cloudy starting in the evening.,partly-cloudy-night,4/24/2010 5:46,4/24/2010 20:12,0.36,0,0,,0,,68.4,1272117600,51.03,1272171600,68.4,1272117600,51.03,1272171600,34.55,0.5,1018.15,2.46,10.29,1272117600,137,0.13,6,1272110400,6.15,38.69,4/24/2010 6:00,68.4,4/24/2010 15:00,38.69,4/24/2010 6:00,68.4,4/24/2010 15:00,0910-04,London,Arsenal,51.555,-0.10861111,
2010-03-06,Mostly cloudy until afternoon.,partly-cloudy-day,3/6/2010 6:36,3/6/2010 17:50,0.71,0,0,,0,,42.42,1267880400,26.82,1267941600,37.24,1267873200,25.19,1267934400,28.74,0.68,1027.64,4.79,11.48,1267891200,43,0.43,3,1267876800,6.2,30.88,3/6/2010 23:00,42.42,3/6/2010 13:00,26.05,3/6/2010 22:00,37.24,3/6/2010 11:00,0910-05,London,Arsenal,51.555,-0.10861111,
2009-10-04,Partly cloudy throughout the day.,partly-cloudy-day,10/4/2009 7:07,10/4/2009 18:32,0.49,0,0,,0,,60.75,1254668400,53.3,1254715200,60.75,1254668400,53.3,1254715200,44.62,0.68,1012.06,5.78,9.58,1254664800,264,0.54,3,1254654000,6.2,49.99,10/4/2009 8:00,60.75,10/4/2009 16:00,47.53,10/4/2009 8:00,60.75,10/4/2009 16:00,0910-06,London,Arsenal,51.555,-0.10861111,
2010-04-03,Light rain in the morning.,rain,4/3/2010 6:32,4/3/2010 19:37,0.66,0.0048,0.0289,4/3/2010 9:00,0.91,rain,52.67,1270306800,42.22,1270360800,52.67,1270306800,38.11,1270364400,38.57,0.76,1000.41,4.37,10.25,1270296000,180,0.55,4,1270292400,6.21,40.29,4/3/2010 8:00,52.67,4/3/2010 16:00,37.27,4/3/2010 7:00,52.67,4/3/2010 16:00,0910-07,London,Arsenal,51.555,-0.10861111,
2009-12-05,Light rain starting in the evening.,rain,12/5/2009 7:51,12/5/2009 15:54,0.61,0.0093,0.0401,12/5/2009 3:00,1,rain,52.16,1260039600,52.4,1260050400,52.16,1260039600,52.4,1260050400,46.24,0.87,999.64,6.66,12.2,1260054000,208,0.48,1,1260010800,5.81,46.93,12/5/2009 8:00,53.41,12/5/2009 23:00,43.79,12/5/2009 8:00,53.41,12/5/2009 23:00,0910-08,London,Arsenal,51.555,-0.10861111,
2009-11-29,"Rain until evening, starting again overnight.",rain,11/29/2009 7:43,11/29/2009 15:57,0.4,0.0275,0.0774,11/29/2009 2:00,1,rain,46.54,1259499600,42.35,1259568000,43.1,1259496000,35.13,1259568000,42.41,0.87,985.12,6.14,14.74,1259503200,170,0.62,1,1259492400,6.03,43.92,11/29/2009 23:00,49.88,11/29/2009 0:00,39.72,11/29/2009 18:00,47.92,11/29/2009 0:00,0910-09,London,Arsenal,51.555,-0.10861111,
2010-02-20,"Partly cloudy starting in the afternoon, continuing until evening.",partly-cloudy-day,2/20/2010 7:05,2/20/2010 17:25,0.2,0,0,,0,,43.09,1266678000,30.14,1266721200,41.58,1266678000,28.49,1266728400,29.25,0.81,997.47,2.7,5.34,1266624000,251,0.16,2,1266663600,5.66,29.41,2/20/2010 7:00,43.09,2/20/2010 15:00,25.17,2/20/2010 5:00,41.58,2/20/2010 15:00,0910-10,London,Arsenal,51.555,-0.10861111,
